Type	|V|   	|E|   	dmax   	davg   	r   	|T|   	Tavg   	Tmax   	κavg   	κ   	K   	ωheu   	Size	Download
misc	604	1K	21	3	-0.21	24	-	3	0.00	0.00	4	3	5 KB	    Download
misc	741	3K	36	7	0.00	303	-	11	0.01	0.01	14	3	12 KB	    Download
misc	1K	5K	82	9	-0.13	66	-	4	0.00	0.00	20	3	26 KB	    Download
misc	464	2K	41	7	0.26	2K	3	118	0.03	0.08	9	5	8 KB	    Download
misc	808	3K	68	6	-0.13	36	-	3	0.01	0.00	10	3	9 KB	    Download
misc	464	2K	42	6	0.26	2K	3	119	0.03	0.08	9	5	8 KB	    Download
misc	464	2K	41	7	0.26	2K	3	118	0.03	0.08	9	5	8 KB	    Download
misc	89	139	6	3	-0.53	21	-	1	0.08	0.05	3	3	2 KB	    Download
misc	32K	148K	252	9	-0.34	293K	9	1K	0.30	0.06	32	16	534 KB	    Download
misc	11K	32K	137	5	-0.21	720	-	10	0.01	0.00	4	3	97 KB	    Download
misc	34K	101K	361	5	-0.19	2K	-	28	0.00	0.00	4	3	304 KB	    Download
misc	1K	3K	6	5	0.46	6K	5	6	0.41	0.40	4	3	9 KB	    Download
misc	1K	4K	6	5	0.47	7K	5	6	0.41	0.40	4	3	12 KB	    Download
misc	2K	5K	6	5	0.47	9K	5	6	0.41	0.40	4	3	14 KB	    Download
misc	2K	6K	6	5	0.47	11K	5	6	0.41	0.40	4	3	17 KB	    Download
misc	2K	7K	6	5	0.48	13K	5	6	0.41	0.40	4	3	20 KB	    Download
misc	3K	8K	6	5	0.48	15K	5	6	0.41	0.40	4	3	23 KB	    Download
misc	3K	9K	6	5	0.48	18K	5	6	0.41	0.40	4	3	26 KB	    Download
misc	3K	10K	6	5	0.48	20K	5	6	0.41	0.40	4	3	30 KB	    Download
misc	265	744	6	5	0.42	1K	5	6	0.42	0.41	4	3	3 KB	    Download
misc	406	1K	6	5	0.44	2K	5	6	0.42	0.41	4	3	4 KB	    Download
misc	577	2K	6	5	0.45	3K	5	6	0.41	0.41	4	3	6 KB	    Download
misc	778	2K	6	5	0.46	4K	5	6	0.41	0.40	4	3	7 KB	    Download
misc	147	1K	20	15	0.55	11K	74	109	0.64	0.60	12	9	7 KB	    Download
misc	147	1K	20	15	0.56	11K	74	109	0.63	0.60	12	9	7 KB	    Download
misc	2K	6K	10	6	0.52	16K	9	15	0.51	0.45	5	4	53 KB	    Download
misc	109K	383K	10	6	0.50	1M	9	15	0.54	0.42	5	4	5 MB	    Download
misc	3K	12K	13	7	-0.26	236	-	6	0.00	0.00	6	3	40 KB	    Download
misc	115K	120K	6	2	0.10	204	-	1	0.00	0.00	3	3	526 KB	    Download
misc	200K	801K	8	8	-	109	-	2	0.00	0.00	9	3	3 MB	    Download
misc	215K	2M	40	15	0.16	10M	48	125	0.42	0.40	10	7	5 MB	    Download
misc	7K	7K	2	1.00	-	-	-	-	-	-	-	-	55 KB	    Download
misc	98K	5M	236	98	0.16	291M	3K	10K	0.62	0.57	84	60	57 MB	    Download
misc	2K	6K	189	7	-0.19	1K	-	92	0.00	0.01	15	4	25 KB	    Download
misc	1K	3K	37	4	0.04	1K	1	36	0.07	0.07	6	5	12 KB	    Download
misc	2K	6K	314	5	-0.33	3K	1	167	0.05	0.01	11	5	23 KB	    Download
misc	183	2K	106	27	-0.25	37K	203	1K	0.34	0.35	25	13	9 KB	    Download
misc	212	242	21	2	-0.36	3	-	1	0.01	0.00	4	3	4 KB	    Download
misc	3K	6K	129	4	-0.13	3K	1	48	0.07	0.04	7	7	24 KB	    Download
misc	207K	1M	57	12	0.10	1M	4	35	0.09	0.05	16	5	11 MB	    Download
misc	1K	8K	206	12	-0.06	11K	8	391	0.06	0.04	41	5	43 KB	    Download
misc	160K	2M	27	19	-0.24	14M	89	127	0.52	0.42	12	6	10 MB	    Download
misc	6K	110K	50	36	0.00	2M	407	601	0.62	0.57	28	20	209 KB	    Download
misc	38K	92K	6	4	-0.34	182K	4	6	0.64	0.47	4	4	738 KB	    Download
misc	390K	934K	6	4	-0.33	2M	4	6	0.64	0.47	4	4	8 MB	    Download
misc	9K	47K	61	10	0.14	151K	16	379	0.24	0.20	17	6	519 KB	    Download
misc	9K	47K	61	10	0.14	151K	16	379	0.24	0.20	17	6	523 KB	    Download
misc	18K	95K	61	10	0.14	304K	16	379	0.24	0.20	17	6	1 MB	    Download
misc	18K	95K	61	10	0.14	304K	16	379	0.24	0.20	17	6	1 MB	    Download
misc	27K	143K	61	10	0.14	457K	16	379	0.24	0.20	17	6	2 MB	    Download
misc	27K	143K	61	10	0.14	457K	16	379	0.24	0.20	17	6	2 MB	    Download
misc	37K	191K	61	10	0.14	610K	16	379	0.24	0.20	17	6	2 MB	    Download
misc	37K	191K	61	10	0.14	610K	16	379	0.24	0.20	17	6	2 MB	    Download
misc	46K	239K	61	10	0.14	763K	16	379	0.24	0.20	17	6	3 MB	    Download
misc	46K	239K	61	10	0.14	763K	16	379	0.24	0.20	17	6	3 MB	    Download
misc	55K	288K	61	10	0.14	916K	16	379	0.24	0.20	17	6	3 MB	    Download
misc	55K	288K	61	10	0.14	916K	16	379	0.24	0.20	17	6	3 MB	    Download
misc	5K	17K	61	7	0.15	53K	11	379	0.20	0.20	17	6	185 KB	    Download
misc	64K	336K	61	10	0.14	1M	16	379	0.24	0.20	17	6	4 MB	    Download
misc	125K	3M	10K	40	-0.01	31M	250	205K	0.30	0.12	30	10	12 MB	    Download
misc	103K	2M	5K	39	0.00	22M	216	78K	0.29	0.23	24	9	12 MB	    Download
misc	492	50K	679	201	-0.27	9M	18K	78K	0.91	0.59	142	80	263 KB	    Download
misc	492	50K	679	201	-0.27	9M	18K	78K	0.91	0.59	142	80	250 KB	    Download
misc	492	41K	647	165	-0.32	6M	12K	62K	0.94	0.53	113	65	165 KB	    Download
misc	526K	2M	6	5	0.50	3M	5	6	0.40	0.40	4	3	10 MB	    Download
misc	180	2K	94	27	0.40	92K	513	3K	0.78	0.70	43	34	21 KB	    Download
misc	765	24K	155	61	0.51	852K	1K	4K	0.66	0.47	48	22	197 KB	    Download
misc	3K	58K	493	40	-0.07	17K	5	2K	0.02	0.00	61	5	291 KB	    Download
misc	6K	21K	1K	7	-0.06	35K	6	3K	0.33	0.03	16	4	95 KB	    Download
misc	3M	15M	54	5.47	-	-	-	-	-	-	-	-	118 MB	    Download
misc	18K	108K	1K	12	0.14	4M	214	40K	0.59	0.21	193	69	829 KB	    Download
misc	48	129	7	5	0.03	243	5	7	0.44	0.41	5	3	3 KB	    Download
misc	48	129	7	5	0.03	243	5	7	0.44	0.41	5	3	3 KB	    Download
misc	48	129	7	5	0.03	243	5	7	0.44	0.41	5	3	3 KB	    Download
misc	306	856	9	5	0.12	2K	5	9	0.43	0.40	5	3	11 KB	    Download
misc	306	856	9	5	0.12	2K	5	9	0.43	0.40	5	3	11 KB	    Download
misc	289	800	8	5	0.38	2K	5	8	0.43	0.41	4	3	4 KB	    Download
misc	289	800	8	5	0.38	2K	5	8	0.43	0.41	4	3	5 KB	    Download
misc	234K	854K	170	7	-0.86	5K	-	229	0.00	0.00	6	4	7 MB	    Download
misc	1K	47K	120	74	0.20	2M	1K	4K	0.36	0.46	51	23	464 KB	    Download
misc	1K	11K	31	16	0.72	172K	133	321	0.76	0.74	20	20	93 KB	    Download
misc	3K	67K	59	41	0.16	2M	482	966	0.47	0.51	26	13	571 KB	    Download
misc	3K	8K	9	4	0.54	21K	6	20	0.67	0.61	6	6	92 KB	    Download
misc	5K	100K	59	41	0.16	2M	484	966	0.47	0.51	26	13	861 KB	    Download
misc	5K	11K	9	4	0.54	31K	6	20	0.67	0.61	6	6	138 KB	    Download
misc	416	8K	59	40	0.18	193K	463	966	0.47	0.51	26	13	60 KB	    Download
misc	416	948	9	4	0.54	3K	6	20	0.68	0.62	6	6	10 KB	    Download
misc	13K	36K	62	5	0.41	120K	9	212	0.23	0.33	15	6	399 KB	    Download
misc	13K	36K	62	5	0.41	120K	9	212	0.23	0.33	15	6	399 KB	    Download
misc	13K	36K	62	5	0.41	120K	9	212	0.23	0.33	15	6	400 KB	    Download
misc	3K	3K	5	2	-0.18	159	-	2	0.02	0.03	3	3	13 KB	    Download
misc	41K	81K	5	3	0.72	1K	-	3	0.00	0.01	4	3	469 KB	    Download
misc	66K	5M	66K	154	-	2B	37K	5M	0.85	0.51	711	711	10 MB	    Download
misc	322K	2M	822	9	-0.05	6M	18	2K	0.57	0.11	9	6	8 MB	    Download
misc	896K	4M	2K	8	-0.05	13K	-	78	0.00	0.00	24	3	16 MB	    Download
misc	13K	148K	2K	22	-0.11	4M	263	70K	0.37	0.11	74	25	521 KB	    Download
misc	115	613	12	10	0.16	2K	21	32	0.40	0.41	9	9	3 KB	    Download
misc	6K	139K	26K	45	-0.23	12M	2K	1M	2.05	0.02	274	16	182 KB	    Download
misc	77	254	36	6	-0.17	1K	18	82	0.57	0.50	10	10	2 KB	    Download
misc	30K	2M	306	131	0.02	147M	5K	14K	0.63	0.43	89	31	16 MB	    Download
misc	630	1K	30	3	-0.87	154	-	18	0.05	0.01	4	3	4 KB	    Download
misc	3K	9K	18	5	-0.67	234	-	7	0.00	0.00	5	3	27 KB	    Download
misc	5K	19K	10	7	-0.20	131	-	4	0.00	0.00	6	3	61 KB	    Download
misc	5K	5K	6	2	-0.67	-	-	-	-	-	3	2	19 KB	    Download
misc	990	2K	38	3	-0.90	175	-	21	0.03	0.00	4	3	6 KB	    Download
misc	7K	21K	24	5	-0.75	337	-	11	0.00	0.00	5	3	58 KB	    Download
misc	17K	69K	14	7	-0.43	222	-	3	0.00	0.00	6	3	219 KB	    Download
misc	17K	52K	8	5	-0.25	69	-	2	0.00	0.00	5	3	182 KB	    Download
misc	17K	47K	8	5	-0.30	72	-	3	0.00	0.00	5	3	166 KB	    Download
misc	1K	3K	47	3	-0.92	211	-	27	0.03	0.00	4	3	8 KB	    Download
misc	14K	42K	31	5	-0.81	505	-	21	0.00	0.00	5	3	118 KB	    Download
misc	52K	208K	19	7	-0.58	345	-	10	0.00	0.00	6	3	640 KB	    Download
misc	62K	312K	11	9	-0.09	335	-	4	0.00	0.00	7	3	1 MB	    Download
misc	62K	62K	7	1	-0.71	3	-	1	0.00	0.00	3	2	249 KB	    Download
misc	270K	811K	9	5	-0.33	103	-	2	0.00	0.00	5	3	3 MB	    Download
misc	378	753	23	3	-0.84	99	-	13	0.05	0.01	4	3	3 KB	    Download
misc	1K	4K	13	5	-0.54	155	-	6	0.01	0.00	5	3	12 KB	    Download
misc	1K	4K	7	5	-0.14	36	-	1	0.00	0.00	5	3	13 KB	    Download
misc	66K	197K	320	5	-0.03	4K	-	34	0.00	0.00	10	3	774 KB	    Download
misc	798	3K	62	7	0.03	5K	5	270	0.03	0.09	10	8	12 KB	    Download
misc	17K	150K	546	17	-0.38	642	-	71	0.00	0.00	15	3	700 KB	    Download
misc	1K	8K	144	11	-0.47	4K	2	299	0.01	0.01	11	4	29 KB	    Download
misc	5K	24K	215	10	-0.21	615	-	89	0.00	0.00	19	3	102 KB	    Download
misc	5K	46K	499	18	-0.32	11K	2	1K	0.01	0.00	15	5	221 KB	    Download
misc	12K	90K	316	15	-0.60	19K	1	627	0.00	0.00	13	4	365 KB	    Download
misc	5K	28K	282	10	-0.24	25K	4	1K	0.03	0.03	15	6	132 KB	    Download
misc	10K	51K	254	10	-0.20	2K	-	122	0.00	0.00	19	4	220 KB	    Download
misc	6K	25K	72	7	0.01	8K	1	270	0.01	0.02	10	8	99 KB	    Download
misc	11K	56K	217	10	-0.31	2K	-	130	0.00	0.00	16	4	260 KB	    Download
misc	169K	5M	1K	29.73	-	-	-	-	-	-	-	-	106 MB	    Download
misc	1K	2M	3K	3K	0.00	7B	443M	4M	1.00	1.00	3K	1K	5 MB	    Download
misc	70	506	33	14	0.19	4K	58	234	0.53	0.49	16	6	4 KB	    Download
misc	77	254	36	6	-0.17	1K	18	82	0.57	0.50	10	10	4 KB	    Download
misc	62	1K	57	38	-0.06	30K	491	966	0.67	0.66	30	12	6 KB	    Download
misc	2K	9K	364	10	-0.05	60K	33	3K	0.72	0.16	16	10	31 KB	    Download
misc	217	3K	80	24	0.12	26K	120	623	0.40	0.34	17	10	10 KB	    Download
misc	2K	2K	56	2	-0.16	666	-	18	0.07	0.06	6	6	10 KB	    Download
misc	18	188	28	20	0.01	3K	177	266	0.83	0.82	17	11	4 KB	    Download
misc	45K	15M	8K	322B	-	-	-	-	-	-	-	-	156 MB	    Download
misc	-	-	-	-	-	-	-	-	-	-	-	-	60 MB	    Download
misc	17K	96K	721	11	-0.02	145K	8	5K	0.01	0.02	43	5	653 KB	    Download
misc	8K	96K	6K	25	-0.19	1M	148	49K	0.20	0.02	59	7	506 KB	    Download
misc	17K	96K	6K	11	-0.18	453K	27	55K	0.07	0.01	641	21	526 KB	    Download
misc	6K	1M	3K	331	-0.24	133M	22K	512K	0.27	0.17	305	30	5 MB	    Download
misc	6K	68K	35	22	0.55	552K	92	180	0.35	0.32	16	9	488 KB	    Download
misc	147K	590K	240	8	-0.02	512	-	20	0.00	0.00	10	4	7 MB	    Download
misc	146K	569K	4K	7	-0.04	113	-	13	0.00	0.00	10	4	6 MB	    Download
misc	726	17K	87	46	0.41	338K	465	1K	0.40	0.38	32	12	72 KB	    Download
misc	1K	14K	127	26	0.04	206K	195	1K	0.52	0.39	24	10	82 KB	    Download
misc	1K	22K	44	31	0.09	329K	228	468	0.48	0.46	21	13	150 KB	    Download
misc	5K	47K	26	20	0.79	508K	112	181	0.53	0.52	15	10	283 KB	    Download
misc	11K	609K	722	112	0.00	43M	4K	30K	0.67	0.53	81	60	6 MB	    Download
misc	23K	566K	177	49	0.04	16M	706	3K	0.61	0.57	36	22	6 MB	    Download
misc	416K	10M	78	24.84	-	-	-	-	-	-	-	-	107 MB	    Download
misc	25K	168K	46K	13	-0.16	1M	49	227K	0.70	0.00	72	6	977 KB	    Download
misc	25K	168K	46K	13	-0.16	1M	49	227K	0.70	0.00	72	6	2 MB	    Download
misc	25K	168K	46K	13	-0.16	1M	49	227K	0.70	0.00	72	6	2 MB	    Download
misc	30K	86K	298	5	0.02	15K	-	278	0.01	0.01	26	5	656 KB	    Download
misc	465K	835K	678	3	-0.87	135K	-	3K	0.02	0.00	31	6	2 MB	    Download
misc	105	210	16	4	-0.75	74	-	16	0.14	0.04	4	4	2 KB	    Download
misc	306	329	16	2	-0.80	12	-	4	0.00	0.01	3	3	2 KB	    Download
misc	455	1K	16	5	-0.62	58	-	4	0.01	0.00	5	3	5 KB	    Download
misc	1K	5K	16	8	-0.50	196	-	4	0.00	0.00	6	3	16 KB	    Download
misc	3K	15K	16	9	-0.37	132	-	4	0.00	0.00	7	3	45 KB	    Download
misc	5K	30K	16	11	-0.25	466	-	7	0.00	0.00	8	3	96 KB	    Download
misc	6K	40K	16	13	-0.10	492	-	5	0.00	0.00	10	3	129 KB	    Download
misc	6K	32K	16	11	-0.13	638	-	6	0.00	0.00	8	3	105 KB	    Download
misc	4K	13K	16	6	-0.40	192	-	3	0.00	0.00	6	3	44 KB	    Download
misc	1K	3K	16	4	-0.62	115	-	7	0.01	0.01	4	3	11 KB	    Download
misc	15	29	7	3	-0.31	24	1	6	0.33	0.19	4	4	1 KB	    Download
misc	20	60	7	6	-0.14	52	2	5	0.15	0.16	6	3	1 KB	    Download
misc	20	60	7	6	-0.14	52	2	5	0.15	0.16	6	3	1 KB	    Download
misc	15	29	7	3	-0.31	24	1	6	0.33	0.19	4	4	1 KB	    Download
misc	45	89	11	3	-0.62	44	-	10	0.19	0.08	4	4	1 KB	    Download
misc	120	360	11	6	-0.45	74	-	6	0.04	0.03	5	3	2 KB	    Download
misc	210	840	11	8	-0.27	134	-	4	0.03	0.02	6	3	3 KB	    Download
misc	252	1K	11	10	-0.09	94	-	4	0.01	0.01	8	3	5 KB	    Download
misc	252	1K	11	10	-0.09	94	-	4	0.01	0.01	8	3	5 KB	    Download
misc	210	840	11	8	-0.27	134	-	4	0.03	0.02	6	3	3 KB	    Download
misc	120	240	11	4	-0.58	36	-	5	0.02	0.02	4	3	2 KB	    Download
misc	105	210	16	4	-0.75	74	-	16	0.14	0.04	4	4	2 KB	    Download
misc	3K	7K	16	5	-0.53	195	-	4	0.00	0.00	5	3	25 KB	    Download
misc	675	718	16	2	-0.78	12	-	3	0.00	0.00	4	3	3 KB	    Download
misc	455	1K	16	5	-0.62	58	-	4	0.01	0.00	5	3	5 KB	    Download
misc	1K	5K	16	8	-0.50	196	-	4	0.00	0.00	6	3	16 KB	    Download
misc	3K	15K	16	9	-0.37	132	-	4	0.00	0.00	7	3	45 KB	    Download
misc	5K	30K	16	12	-0.25	222	-	6	0.00	0.00	9	3	96 KB	    Download
misc	6K	45K	16	13	-0.12	248	-	4	0.00	0.00	10	3	146 KB	    Download
misc	6K	51K	16	16	-	-	-	-	-	-	17	2	168 KB	    Download
misc	6K	44K	16	13	-0.14	531	-	7	0.00	0.00	10	3	147 KB	    Download
misc	5K	25K	16	10	-0.31	628	-	9	0.00	0.00	7	3	83 KB	    Download
misc	105	210	16	4	-0.75	74	-	16	0.14	0.04	4	4	2 KB	    Download
misc	630	1K	15	4	-0.68	46	-	4	0.01	0.00	4	3	5 KB	    Download
misc	120	120	13	2	-0.85	-	-	-	-	-	3	2	1 KB	    Download
misc	455	1K	16	5	-0.62	58	-	4	0.01	0.00	5	3	5 KB	    Download
misc	1K	5K	16	7	-0.49	209	-	5	0.01	0.00	6	3	17 KB	    Download
misc	3K	14K	16	9	-0.33	222	-	11	0.00	0.00	7	3	44 KB	    Download
misc	4K	26K	16	11	-0.16	396	-	5	0.00	0.00	8	3	84 KB	    Download
misc	5K	33K	16	13	0.01	420	-	8	0.00	0.00	11	4	109 KB	    Download
misc	5K	29K	16	12	-0.04	416	-	7	0.00	0.00	9	3	97 KB	    Download
misc	4K	17K	16	9	-0.26	334	-	5	0.00	0.00	7	3	57 KB	    Download
misc	2K	6K	16	6	-0.47	204	-	4	0.00	0.00	6	3	21 KB	    Download
misc	210	420	22	4	-0.82	104	-	22	0.10	0.02	4	4	2 KB	    Download
misc	187K	1M	22	15	-0.08	1K	-	5	0.00	0.00	11	3	5 MB	    Download
misc	132K	831K	22	12	-0.25	975	-	8	0.00	0.00	9	3	3 MB	    Download
misc	69K	333K	22	9	-0.42	601	-	6	0.00	0.00	7	3	1 MB	    Download
misc	26K	88K	22	6	-0.58	362	-	4	0.00	0.00	6	3	307 KB	    Download
misc	6K	14K	21	4	-0.74	132	-	4	0.00	0.00	5	3	48 KB	    Download
misc	920	959	19	2	-0.87	12	-	2	0.00	0.00	3	3	4 KB	    Download
misc	1K	4K	22	6	-0.73	188	-	8	0.01	0.00	5	3	12 KB	    Download
misc	6K	24K	22	8	-0.63	132	-	4	0.00	0.00	6	3	71 KB	    Download
misc	20K	100K	22	9	-0.53	340	-	12	0.00	0.00	7	3	315 KB	    Download
misc	52K	311K	22	11	-0.42	706	-	12	0.00	0.00	8	3	1019 KB	    Download
misc	104K	729K	22	13	-0.31	716	-	5	0.00	0.00	9	3	2 MB	    Download
misc	163K	1M	22	15	-0.18	1K	-	8	0.00	0.00	10	3	4 MB	    Download
misc	199K	2M	22	17	-0.05	2K	-	8	0.00	0.00	12	3	6 MB	    Download
misc	199K	2M	22	18	0.04	1K	-	6	0.00	0.00	13	3	6 MB	    Download
misc	2K	19K	41	20	0.40	216K	118	281	0.59	0.53	18	12	158 KB	    Download
misc	2K	35K	35	32	0.53	661K	308	339	0.60	0.58	20	16	413 KB	    Download
misc	3K	86K	174	58	-0.03	3M	1K	4K	0.69	0.51	44	36	714 KB	    Download
misc	5K	50K	41	21	0.46	591K	125	281	0.58	0.53	18	12	113 KB	    Download
misc	55K	1M	275	47	0.07	35M	640	4K	0.56	0.55	36	18	12 MB	    Download
misc	50K	150K	8	5	0.25	300K	6	12	0.41	0.35	7	4	1 MB	    Download
misc	12K	33K	14	5	0.08	34K	2	12	0.11	0.16	7	4	252 KB	    Download
misc	75K	225K	14	5	0.01	300K	4	12	0.19	0.20	7	4	1 MB	    Download
misc	63K	187K	12	5	0.13	300K	4	12	0.27	0.26	7	4	1 MB	    Download
misc	88K	262K	16	5	-0.07	300K	3	12	0.14	0.16	7	4	1 MB	    Download
misc	17K	22K	8	2	-0.13	-	-	-	-	-	3	2	201 KB	    Download
misc	36K	7M	520	198B	-	-	-	-	-	-	-	-	55 MB	    Download
misc	72K	14M	521	200M	-	-	-	-	-	-	-	-	99 MB	    Download
misc	9K	2M	514	363	0.49	312M	35K	58K	0.53	0.49	201	57	13 MB	    Download
misc	18K	3M	513	382	0.53	664M	37K	57K	0.51	0.48	210	53	27 MB	    Download
misc	10K	358K	95	75	-0.01	20M	2K	3K	0.74	0.72	42	37	4 MB	    Download
misc	10K	193K	51	40	0.04	5M	568	800	0.71	0.69	24	21	2 MB	    Download
misc	10K	193K	51	40	0.04	5M	568	800	0.71	0.69	24	21	2 MB	    Download
misc	10K	193K	51	40	0.04	5M	568	800	0.71	0.69	24	21	2 MB	    Download
misc	10K	193K	51	40	0.04	5M	568	800	0.71	0.69	24	21	2 MB	    Download
misc	10K	193K	51	40	0.04	5M	568	800	0.71	0.69	24	21	2 MB	    Download
misc	10K	193K	51	40	0.04	5M	568	800	0.71	0.69	24	21	2 MB	    Download
misc	10K	193K	51	40	0.04	5M	568	801	0.71	0.69	24	21	2 MB	    Download
misc	10K	193K	51	40	0.04	5M	572	803	0.71	0.69	24	22	2 MB	    Download
misc	10K	196K	51	41	0.04	6M	592	817	0.71	0.69	24	23	2 MB	    Download
misc	10K	199K	51	41	0.04	6M	615	821	0.72	0.70	25	22	2 MB	    Download
misc	10K	219K	54	46	0.13	7M	734	944	0.70	0.70	26	23	3 MB	    Download
misc	10K	232K	58	48	0.11	8M	832	1K	0.71	0.70	28	26	3 MB	    Download
misc	10K	243K	59	51	0.12	9M	916	1K	0.71	0.70	30	24	3 MB	    Download
misc	10K	265K	65	55	0.12	10M	1K	1K	0.71	0.71	33	26	3 MB	    Download
misc	10K	289K	68	60	0.10	12M	1K	2K	0.72	0.72	34	31	4 MB	    Download
misc	10K	310K	73	65	0.07	15M	2K	2K	0.73	0.72	36	33	4 MB	    Download
misc	10K	343K	81	72	0.13	18M	2K	2K	0.73	0.73	39	37	4 MB	    Download
misc	10K	404K	97	85	0.10	25M	3K	3K	0.74	0.73	46	40	5 MB	    Download
misc	10K	481K	119	101	0.07	36M	4K	5K	0.74	0.73	54	48	6 MB	    Download
misc	10K	582K	140	122	0.06	52M	6K	7K	0.74	0.73	65	58	7 MB	    Download
misc	10K	675K	166	141	0.05	71M	7K	9K	0.75	0.73	76	69	8 MB	    Download
misc	10K	749K	190	157	0.05	87M	9K	12K	0.75	0.73	84	79	9 MB	    Download
misc	10K	749K	192	157	0.04	87M	9K	12K	0.75	0.72	84	78	9 MB	    Download
misc	10K	751K	192	158	0.04	88M	9K	12K	0.75	0.73	84	78	9 MB	    Download
misc	10K	751K	192	158	0.04	88M	9K	12K	0.75	0.73	84	78	9 MB	    Download
misc	2K	3K	22	2	-0.64	60	-	4	0.00	0.00	3	3	9 KB	    Download
misc	2K	4K	138	4	-0.08	42	-	2	0.00	0.00	4	3	13 KB	    Download
misc	75K	1M	8K	27	-0.15	6	-	2	0.00	0.00	55	3	3 MB	    Download
misc	49K	181K	4K	7	-0.09	7K	-	153	0.00	0.00	14	4	605 KB	    Download
misc	9K	56K	416	12	-0.25	44K	4	3K	0.01	0.01	19	8	206 KB	    Download
misc	9K	68K	635	15	-0.29	1K	-	109	0.00	0.00	16	4	252 KB	    Download
misc	29K	192K	629	13	-0.24	3K	-	333	0.00	0.00	26	3	740 KB	    Download
misc	516K	1M	16K	4	-0.05	-	-	-	-	-	5	2	5 MB	    Download
misc	133K	468K	4K	7	-0.24	-	-	-	-	-	5	2	2 MB	    Download
misc	134K	553K	4K	8	-0.26	-	-	-	-	-	7	2	2 MB	    Download
misc	519K	2M	6K	7	-0.06	2M	2	80	0.19	0.01	5	4	7 MB	    Download
misc	30K	1M	180	66	-0.30	980K	32	90	0.04	0.01	69	3	2 MB	    Download
misc	37K	1M	230	69	-0.38	1M	33	115	0.04	0.01	69	3	3 MB	    Download
misc	44K	2M	280	70	-0.42	2M	34	140	0.05	0.01	69	3	3 MB	    Download
misc	10K	196K	138	41	-0.32	192K	20	68	0.04	0.01	35	3	435 KB	    Download
misc	88K	1M	5K	26	-0.06	10M	114	72K	0.20	0.03	22	5	3 MB	    Download
misc	16K	464K	138	56	-0.11	455K	27	68	0.04	0.01	69	3	1008 KB	    Download
misc	23K	733K	138	63	-0.15	718K	31	68	0.04	0.01	69	3	2 MB	    Download
misc	2M	2M	7	2	0.10	6K	-	4	0.00	0.00	4	3	10 MB	    Download
misc	2K	3K	34	3	0.46	11K	7	173	0.64	0.69	20	9	11 KB	    Download
misc	2K	3K	8	2	-0.81	-	-	-	-	-	3	3	10 KB	    Download
misc	615	1K	4	3	0.60	135	-	2	0.04	0.04	4	3	4 KB	    Download
misc	15K	46K	151	6	-0.10	42	-	3	0.00	0.00	12	3	184 KB	    Download
misc	4M	50M	29	14.17	-	-	-	-	-	-	-	-	159 MB	    Download
misc	8M	119M	29	14.25	-	-	-	-	-	-	-	-	379 MB	    Download
misc	16M	232M	29	14.30	-	-	-	-	-	-	-	-	664 MB	    Download
misc	28M	401M	29	14.33	-	-	-	-	-	-	-	-	1 GB	    Download
misc	1M	15M	29	14.01	-	-	-	-	-	-	-	-	45 MB	    Download
misc	19K	368K	64	39	0.06	8M	430	760	0.57	0.55	29	12	3 MB	    Download
misc	1K	8K	32	11	-0.49	-	-	-	-	-	9	2	32 KB	    Download
misc	261	1K	32	10	-0.40	-	-	-	-	-	8	2	6 KB	    Download
misc	666	4K	32	10	-0.44	-	-	-	-	-	9	2	15 KB	    Download
misc	11K	30K	10	5	0.16	58K	5	10	0.43	0.40	5	4	139 KB	    Download
misc	12K	34K	58	5	0.39	118K	10	208	0.23	0.33	15	6	377 KB	    Download
misc	237	390	4	3	0.94	-	-	-	-	-	3	2	3 KB	    Download
misc	957	2K	4	3	0.98	-	-	-	-	-	3	2	10 KB	    Download
misc	960	7K	17	15	0.45	58K	60	72	0.53	0.52	10	8	34 KB	    Download
misc	100	247	6	4	-0.04	108	1	2	0.12	0.10	4	3	2 KB	    Download
misc	468	2K	22	10	0.42	4K	7	44	0.15	0.16	8	8	13 KB	    Download
misc	675	1K	4	3	0.62	-	-	-	-	-	3	2	8 KB	    Download
misc	729	2K	6	5	0.73	-	-	-	-	-	4	2	10 KB	    Download
misc	20K	2M	610	162	0.00	152M	7K	38K	0.59	0.44	101	31	21 MB	    Download
misc	38K	698K	849	37	0.13	65K	1	443	0.00	0.00	163	3	2 MB	    Download
misc	897	3K	73	7	-0.03	411	-	28	0.01	0.01	11	3	14 KB	    Download
misc	10K	155K	951	30	-0.27	13K	1	128	0.00	0.00	62	3	521 KB	    Download
misc	30K	148K	24	9	-0.10	717	-	5	0.00	0.00	8	3	512 KB	    Download
misc	123K	905K	91K	14	-	102K	-	12K	0.02	0.00	11	4	2 MB	    Download
misc	40K	79K	4	3	-0.01	-	-	-	-	-	3	2	371 KB	    Download
misc	400	801	5	4	-0.12	12	-	5	0.00	0.00	4	4	4 KB	    Download
misc	399	399	2	1.00	-	-	-	-	-	-	-	-	3 KB	    Download
misc	260K	2M	30	15	-0.02	12M	46	101	0.43	0.40	10	7	30 MB	    Download
misc	181K	11M	7K	61.01	-	-	-	-	-	-	-	-	69 MB	    Download
misc	74K	2M	69	47	-0.24	50M	682	1K	0.65	0.56	35	21	10 MB	    Download
